nombre,distrito_id,distrito_nombre,departamento_id,departamento_nombre,tipo,lat,lon,observacion
Aurelia Norte,826,Aurelia Sur,8,Castellanos,Localidad,-31.374685951112202,-61.36149297224728,
Aurelia Sur,826,Aurelia Sur,8,Castellanos,Comuna,-31.421918897231503,-61.424931034157964,
Avellaneda,319,Avellaneda,3,General Obligado,Municipalidad,-29.115748802794446,-59.65904537003346,
Barrancas,1115,Barrancas,11,San Jerónimo,Comuna,-32.234336085056036,-60.98358391157423,
Bauer Y Sigel,832,Bauer Y Sigel,8,Castellanos,Comuna,-31.271385627066998,-61.942637963754514,
Bella Italia,825,Bella Italia,8,Castellanos,Comuna,-31.28229842447566,-61.41035194864539,
Bella Vista,1502,Puerto San Martin,15,San Lorenzo,Paraje,-32.69951587567493,-60.73437367201879,
Berabevú,1811,Berabevú,18,Caseros,Comuna,-33.338732662404084,-61.861084254031226,
Berna,322,Berna,3,General Obligado,Comuna,-29.27333734254386,-59.84647197977958,
Bernardo de Irigoyen,1113,Bernardo de Irigoyen (Est. Irigoyen),11,San Jerónimo,Comuna,-32.16848279405444,-61.15687629409163,
Berretta,1411,Correa,14,Iriondo,Paraje,-32.93168679374198,-61.26148479552668,
Bigand,1807,Bigand,18,Caseros,Comuna,-33.373111037275436,-61.185484330407625,
Bombal,1901,Bombal,19,Constitución,Comuna,-33.45790198235162,-61.31817367308242,
Bouquet,1301,Bouquet,13,Belgrano,Comuna,-32.423573934774346,-61.88955480227701,
Bustinza,1409,Bustinza,14,Iriondo,Comuna,-32.738162155107226,-61.29087607833537,
Cabal,1002,Cabal,10,La Capital,Comuna,-31.099737448947643,-60.74660046620342,
Cabaña El Cisne,811,Sunchales,8,Castellanos,Paraje,-31.005123649810287,-61.59575251840431,
Cacique Ariacaiquín,405,Cacique Ariacaiquín,4,San Javier,Comuna,-30.654854750512882,-60.22834588933543,
Caferata,1701,Caferata,17,General López,Comuna,-33.440147290822075,-62.082301403788215,
Calchaquí,205,Calchaquí,2,Vera,Municipalidad,-29.8887701262955,-60.2844692096568,
Campana,1725,Christophersen,17,General López,Paraje,-34.170094582255636,-62.05354925819684,
Campo Andino,1004,Campo Andino,10,La Capital,Comuna,-31.239640952926603,-60.53119462450798,
Campo del Medio,501,Helvecia,5,Garay,Paraje,-31.14570386748719,-60.13199621296423,
Campo Garay (Juan de Garay),109,Campo Garay (Juan de Garay),1,Nueve de Julio,Comuna,-29.691437395244048,-61.60434438849685,
Campo Piaggio,1107,Campo Piaggio,11,San Jerónimo,Comuna,-31.966661542050286,-61.32864944784214,
Candioti,1007,Candioti,10,La Capital,Comuna,-31.401413347440695,-60.74901305527859,
Cañada De Gómez,1410,Cañada De Gómez,14,Iriondo,Municipalidad,-32.82319142409997,-61.39066698184452,Cabecera departamental
Cañada del Ucle,1705,Cañada del Ucle,17,General López,Comuna,-33.408022910211834,-61.60623256845004,
Cañada Ombú,208,Cañada Ombú,2,Vera,Comuna,-28.309296542733957,-59.98203399902422,
Cañada Rica,1911,Cañada Rica,19,Constitución,Comuna,-33.515363549486075,-60.61117120520587,
Cañada Rosquín,1206,Cañada Rosquín,12,San Martín,Comuna,-32.054378006046406,-61.60197588867679,
Capilla Fassi,815,Egusquiza,8,Castellanos,Paraje,-31.144257842241206,-61.59654029750039,
Capitán Bermúdez,1505,Capitán Bermúdez,15,San Lorenzo,Municipalidad,-32.81933219984843,-60.71970310006663,
Capivara,718,Capivara,7,San Cristóbal,Comuna,-30.460227230432988,-61.271206695780855,
Caraguatay,202,Vera,2,Vera,Localidad,-29.410560394032625,-60.13098271419339,
Carcarañá,1509,Carcarañá,15,San Lorenzo,Municipalidad,-32.857316960954066,-61.15188684830919,
Carlos Pellegrini,1211,Carlos Pellegrini,12,San Martín,Comuna,-32.050385351628265,-61.7828939545853,
Carmen,1711,Carmen,17,General López,Comuna,-33.73297780172821,-61.76092097734087,
Carmen Del Sauce,1614,Carmen Del Sauce,16,Rosario,Comuna,-33.2359732707731,-60.81170910222609,
Carreras,1708,Carreras,17,General López,Comuna,-33.5988287264856,-61.30962638445994,
Carrizales,1403,Carrizales,14,Iriondo,Comuna,-32.50875332445525,-61.03235018565238,
Casablanca,810,Aldao,8,Castellanos,Paraje,-30.966835055822404,-61.74034109870022,
Casalegno,1114,Casalegno,11,San Jerónimo,Comuna,-32.26334528472929,-61.12574347227797,
Casas,1212,Casas,12,San Martín,Comuna,-32.12578807441298,-61.53967130183897,
Casilda,1805,Casilda,18,Caseros,Municipalidad,-33.04562717054829,-61.16333147716694,Cabecera departamental
Castelar,1201,Castelar,12,San Martín,Comuna,-31.668426020895566,-62.09026797814379,
